pl_name,hostname,hip_name,default_flag,sy_snum,sy_pnum
11 Com b,11 Com,HIP 60202,0,2,1
11 Com b,11 Com,HIP 60202,0,2,1
11 Com b,11 Com,HIP 60202,1,2,1
11 UMi b,11 UMi,HIP 74793,1,1,1
11 UMi b,11 UMi,HIP 74793,0,1,1
11 UMi b,11 UMi,HIP 74793,0,1,1
14 And b,14 And,HIP 116076,1,1,1
14 And b,14 And,HIP 116076,0,1,1
14 And b,14 And,HIP 116076,0,1,1
14 Her b,14 Her,HIP 79248,0,1,2
14 Her b,14 Her,HIP 79248,0,1,2
14 Her b,14 Her,HIP 79248,1,1,2
14 Her b,14 Her,HIP 79248,0,1,2
14 Her b,14 Her,HIP 79248,0,1,2
14 Her b,14 Her,HIP 79248,0,1,2
14 Her b,14 Her,HIP 79248,0,1,2
14 Her b,14 Her,HIP 79248,0,1,2
16 Cyg B b,16 Cyg B,HIP 96901,0,3,1
16 Cyg B b,16 Cyg B,HIP 96901,0,3,1
16 Cyg B b,16 Cyg B,HIP 96901,0,3,1
16 Cyg B b,16 Cyg B,HIP 96901,0,3,1
16 Cyg B b,16 Cyg B,HIP 96901,0,3,1
16 Cyg B b,16 Cyg B,HIP 96901,1,3,1
17 Sco b,17 Sco,HIP 79540,1,1,1
18 Del b,18 Del,HIP 103527,0,2,1
18 Del b,18 Del,HIP 103527,1,2,1
18 Del b,18 Del,HIP 103527,0,2,1
24 Boo b,24 Boo,HIP 70791,1,1,1
24 Boo b,24 Boo,HIP 70791,0,1,1
24 Sex b,24 Sex,HIP 50887,1,1,2
24 Sex c,24 Sex,HIP 50887,1,1,2
30 Ari B b,30 Ari B,HIP 12184,0,4,1
30 Ari B b,30 Ari B,HIP 12184,0,4,1
30 Ari B b,30 Ari B,HIP 12184,1,4,1
4 UMa b,4 UMa,HIP 42527,1,1,1
4 UMa b,4 UMa,HIP 42527,0,1,1
42 Dra b,42 Dra,HIP 90344,1,2,1
47 UMa b,47 UMa,HIP 53721,0,1,3
47 UMa b,47 UMa,HIP 53721,1,1,3
47 UMa b,47 UMa,HIP 53721,0,1,3
47 UMa b,47 UMa,HIP 53721,0,1,3
47 UMa b,47 UMa,HIP 53721,0,1,3
47 UMa c,47 UMa,HIP 53721,1,1,3
47 UMa c,47 UMa,HIP 53721,0,1,3
47 UMa c,47 UMa,HIP 53721,0,1,3
47 UMa d,47 UMa,HIP 53721,1,1,3
47 UMa d,47 UMa,HIP 53721,0,1,3
51 Eri b,51 Eri,HIP 21547,1,3,1
51 Eri b,51 Eri,HIP 21547,0,3,1
51 Eri b,51 Eri,HIP 21547,0,3,1
51 Peg b,51 Peg,HIP 113357,0,1,1
51 Peg b,51 Peg,HIP 113357,0,1,1
51 Peg b,51 Peg,HIP 113357,1,1,1
51 Peg b,51 Peg,HIP 113357,0,1,1
51 Peg b,51 Peg,HIP 113357,0,1,1
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc b,55 Cnc,HIP 43587,1,2,5
55 Cnc b,55 Cnc,HIP 43587,0,2,5
55 Cnc c,55 Cnc,HIP 43587,0,2,5
55 Cnc c,55 Cnc,HIP 43587,0,2,5
55 Cnc c,55 Cnc,HIP 43587,0,2,5
55 Cnc c,55 Cnc,HIP 43587,0,2,5
55 Cnc c,55 Cnc,HIP 43587,0,2,5
55 Cnc c,55 Cnc,HIP 43587,1,2,5
55 Cnc c,55 Cnc,HIP 43587,0,2,5
55 Cnc c,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,1,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc d,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,1,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
55 Cnc e,55 Cnc,HIP 43587,0,2,5
